user_id	sku_id
10022	43405
100318	61963
100410	22140
100502	19213
100535	51916
100540	51916
10057	93070
10061	2148
100777	12272
100831	123111
100990	64160
10100	153817
101081	4732
101238	111017
101301	32744
101393	70491
101477	42988
101488	97007
101631	4732
101718	54357
102141	38108
102249	102226
102511	87933
102629	170699
102675	166897
102792	6156
102913	16740
102948	122369
10297	89629
103007	146926
103043	54357
103112	4732
103162	144361
103216	2148
103606	51752
103617	14739
103639	79122
103705	71940
103773	168043
103904	85650
104044	64160
104069	56608
104227	2148
104254	84544
104341	135147
104467	77745
104539	20819
104918	136218
104947	89629
105045	141820
105195	51916
105246	146353
10536	63585
105668	8585
105855	112031
105921	8585
105991	65537
106	65537
10600	79080
106115	146926
106157	4732
106185	146926
106422	112141
106625	84544
106660	22140
106708	84544
107053	11257
107123	135894
107147	54357
107302	43405
107305	81163
107430	70491
10763	143527
107861	156650
108136	22140
108516	30218
108620	112141
10865	8585
108694	104937
10875	166897
108809	54357
108931	2148
109176	71940
109201	8585
109222	45173
109418	112141
109622	71651
109661	8585
109802	73250
109877	153304
109975	74527
110170	37427
110175	22140
11024	41618
110380	77745
11077	51916
110973	1286
111028	170864
111202	81199
111314	54357
111465	2148
111563	2148
111605	166897
11216	111532
112230	78285
112824	71940
11302	123430
113078	120686
113125	41200
113133	146926
11315	34535
113228	162344
113242	54357
113442	28443
113492	168434
113526	152061
11364	1286
113719	71940
114275	155692
114276	48106
114307	8585
114340	75362
114370	64160
114490	103114
114593	54357
114595	37546
114597	71651
114664	169886
114766	70491
11488	105352
114881	45173
114985	37427
115011	45173
115122	97007
115176	93074
115330	54357
11539	54357
11541	143527
11574	143289
115825	14739
115988	56608
115992	97007
116026	104937
116085	54357
116195	28443
116266	65823
116618	103114
11714	8585
117312	4732
117379	41505
117477	45173
117498	115757
11768	6156
117707	6156
117767	123111
117834	106989
117993	149462
118	71940
118075	81515
118205	89847
118423	89629
118503	154495
118659	71184
11908	100251
119271	122369
11945	89629
119522	112068
119694	149462
119906	22140
119952	54357
120070	81515
120111	42498
120187	70491
120256	100251
120457	156
120670	37546
120904	139648
121008	4732
121015	38108
121231	146926
121300	14739
12145	51558
121558	2148
121609	33726
121705	71184
121790	37057
121931	104297
121942	71940
121985	42988
122098	84544
122191	43025
122346	170699
122353	84205
122418	45173
122455	124413
122601	43025
122617	115757
122667	81515
122735	115757
122920	71940
12316	45173
123396	97007
123490	41009
12383	48000
12410	3930
124189	85650
124363	2072
124851	74798
12487	33726
125245	168886
125336	134683
125343	64160
125362	2148
125462	81515
125640	22140
125703	163570
125929	160485
125960	81163
126057	22140
126254	54357
126504	156632
126755	19433
127041	64160
127250	154495
12735	82973
127461	29827
127464	43405
127484	127931
127485	146926
127698	54657
127764	134683
127888	87901
128089	112141
128109	91362
1282	4732
128293	162344
128378	103114
128449	160964
128592	79122
128894	54357
128953	84544
129291	84544
129480	3930
129623	79122
129952	64160
129968	54357
130104	123096
130288	63585
130441	131210
130456	32744
130542	103114
13064	142295
13073	24237
130770	96941
130778	38108
130860	146926
13090	96941
13122	71940
131296	140061
131307	56608
131554	2148
131627	25837
131685	42988
131728	104937
131982	71940
132053	162344
132321	56737
132346	8585
132484	65537
132671	156650
132691	146926
132769	159184
132907	2148
132915	71940
132958	153817
13307	8585
133070	3930
133148	54357
133328	4732
133397	82481
133707	7196
133729	160964
13377	64160
13379	107700
134213	84544
134301	96941
134353	87933
134685	22140
134770	82481
134841	152061
135278	42988
135413	54357
135923	81163
136017	65174
1361	81838
136115	70491
136199	124413
136267	112141
136346	56608
136473	61963
136477	89629
136660	56608
13724	112141
13728	14739
13763	45173
13764	42988
137740	71940
137793	162344
138233	112141
138298	53150
138550	3930
13867	146926
138795	54357
138895	37427
13894	82481
139119	54357
139232	112141
139249	8585
13942	14098
139480	2148
139528	162344
13961	81515
14005	43405
14016	123430
140314	156650
140369	65174
140402	8585
14041	11257
140412	143407
140446	4732
140448	60755
140467	54209
140538	71184
140644	159184
140804	71184
140832	54357
140857	71940
141014	152028
141045	104297
141094	150041
141141	54357
141174	152061
14120	71184
141274	51916
141341	146926
141408	79080
141471	22140
141542	2148
141620	115836
141638	15168
141655	129336
141701	70491
141765	65823
141861	77745
141900	87901
142003	150492
142046	60755
142106	156650
14219	4732
142209	2148
142259	60755
142328	54357
14233	71940
142347	162344
142438	19433
142450	168043
142466	14359
14249	162759
142502	14098
142652	81515
142661	64160
142730	165029
142738	33726
142754	82259
142799	160362
142826	41009
142904	112031
143048	121196
143078	149462
143102	96941
143116	71940
143179	38174
14321	54357
143250	102166
143261	64160
143273	146353
143442	4732
14355	51916
143590	32744
143613	4732
143703	84544
143863	148308
14387	54357
143926	2148
143942	2148
143964	4732
143977	1286
144022	6156
144027	2072
144050	8585
144161	82481
14423	71940
144254	63585
144280	42988
144284	7196
144299	34535
144306	135147
144351	112550
144442	44605
144499	43405
144518	97007
144559	43405
144589	19213
14460	168434
144654	152061
144687	70491
144698	122369
14472	154495
144744	82481
144763	96941
144893	2448
144911	22140
145024	143527
145084	56737
145091	22140
145164	8585
145259	54357
145299	60755
145301	70491
145412	38108
145432	71940
145513	2148
145600	32744
145670	112141
145691	112141
145734	2448
145787	143289
145845	154495
145916	14359
145954	70491
146015	6156
146041	142295
14605	41618
146138	7877
146156	41009
146172	32744
14620	37546
146266	22140
146267	54357
146280	146926
146371	107700
146428	41009
146484	2148
146656	65823
146884	143407
146929	81163
14694	84205
147102	14739
147131	168043
14715	4732
147281	8585
147293	56550
147458	54357
147495	3930
147557	27231
147592	96941
147635	2148
147687	75589
147717	171183
147781	84544
147786	8585
147873	70593
148	105031
148001	98301
148049	151546
148144	48000
148198	70888
148201	71940
148215	85650
148225	82259
148311	12465
148334	77745
148352	25566
148433	54357
148495	92192
148512	163835
148546	31870
148744	112141
148746	92192
148841	102166
148852	77745
148860	149462
148894	20248
148932	37057
149043	8585
149058	143527
149073	104129
149194	2148
149345	42988
149486	54357
149510	97007
14964	143289
149688	104129
149732	79454
149777	79122
149812	160362
149986	8585
150	61963
150006	71940
150022	45980
150037	45980
150042	71940
150082	81515
150104	8736
150105	90902
15015	7196
150177	77745
150192	48000
150198	84205
150205	17032
150209	121196
150233	122369
150269	45173
150278	81515
1503	32744
150351	54357
150378	111532
150379	125372
150387	9069
150390	54357
15058	8585
15063	79122
150637	65823
150699	45173
150705	37546
15073	71596
150743	8585
150779	117739
150968	37427
150998	90902
151005	29827
151032	97007
151041	2148
151123	143527
151151	162344
151152	81163
151195	2072
151285	70491
151325	8710
151357	134683
151385	54357
151398	159184
151416	50142
151465	112550
151513	8585
151654	140061
151717	111017
151747	166640
151768	126267
151790	104129
151816	14739
15191	4732
151917	82259
151919	65537
152024	81515
15208	42988
152085	112031
152157	82481
152228	25190
152232	92192
152271	37546
152309	22140
15232	22140
152348	43405
152355	8585
152387	166897
152414	3930
152432	112031
152486	10180
152512	82259
152557	64160
152570	163918
152626	22140
152629	87901
152642	146926
152655	82481
152707	146926
152725	82259
152791	90902
152793	97007
152852	2148
152866	82259
152967	32744
153047	32744
153347	156650
153368	146579
153574	43405
153600	8585
153751	8585
153885	107700
153891	170626
153940	8585
153947	28443
154053	71940
154131	153817
154209	1286
154256	146926
154336	146926
15435	64160
15445	61963
154455	70491
154469	70491
154490	34330
154620	51916
154626	54357
154672	139648
154769	134683
154782	84544
154807	8585
15488	69931
154882	162344
154910	140061
154945	128416
154987	112141
154988	149462
155016	112373
155048	41009
155229	54657
155236	143289
155459	84544
155610	96941
155619	54357
155680	84544
155743	90902
155923	112550
156011	71940
156030	65755
15606	71940
156118	86227
156172	43405
156197	164365
156199	90902
156290	156650
156305	4732
15631	162344
156319	65174
15638	103707
156542	107700
156637	162344
156673	8585
156720	25566
156725	37427
156755	105031
156757	85650
156900	64160
156928	146926
156974	8585
157009	168434
157148	3752
157168	54357
15720	41009
157285	31870
157309	122369
157368	43405
157401	107700
157461	154495
157481	70491
157550	6530
157601	111532
157694	98301
157730	87777
157757	102226
157786	160485
157788	162344
157891	37546
158044	54357
158050	22140
158130	65823
158139	80497
158320	112141
158348	91182
158369	150041
158393	100251
158394	54357
158487	41958
15866	54357
158667	14739
158675	45173
158778	2072
158850	122369
158877	71184
158937	56608
159058	82008
159070	86449
159075	84205
159159	43405
159177	2148
159182	142295
159268	70491
159297	97007
159356	75589
15938	64160
159381	71940
159550	134452
159556	160362
159562	82259
159588	122369
159592	19433
159671	70491
159681	43405
159738	49118
159753	32744
159777	22140
159882	4732
159924	112141
159939	139648
160084	38108
160121	162344
160207	4732
160258	122369
160271	112141
160285	159601
160565	91362
160604	112031
160670	74397
160708	84544
160777	65174
160797	60755
160803	37057
160842	8585
160899	8585
160931	2148
160971	71940
161017	32744
161023	4732
161105	4732
161114	14098
161359	5916
161473	102166
16153	139648
161608	79080
16168	19213
161727	80497
161759	61084
161818	64160
161826	104297
161899	81515
161909	54357
161921	8585
161943	162344
162038	81515
162059	70491
162079	4732
162125	64160
162132	71184
162144	33726
162160	122369
162221	8585
162310	8585
162339	22140
162537	79122
162540	77745
162645	22886
162663	64160
162684	43405
162705	71940
162714	51916
162722	8832
162787	41009
162853	65823
162913	104129
163012	87933
163059	154132
163077	54357
163082	156650
163107	167139
163166	96941
163173	4732
163262	103707
163329	92933
163340	81515
163404	54357
163408	71940
163411	90902
163438	164775
163468	41009
16350	2148
163533	90902
163573	104297
163811	14739
163823	146926
163853	81515
163994	1286
164012	37546
164075	122369
164085	84544
164119	82259
16414	62400
164178	154495
164253	22140
16427	32744
164335	37546
164375	2148
164387	2148
164492	35463
164501	87901
164541	112550
164574	154495
164582	123111
164584	166640
164606	98301
16468	84544
164704	56608
164711	159184
164842	96941
16485	82481
164863	43405
164880	84544
